id,SMS,,,,,,,,,,
95112,So ü pay first lar... Then when is da stock comin...,,,,,,,,,,
46140,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,,,,,,,,
93555,Ffffffffff. Alright no way I can meet up with you sooner?,,,,,,,,,,
39367,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,,,,,,,,
29295,Lol your always so convincing.,,,,,,,,,,
63458,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,,,,,,,,
66310,I'm back &amp; we're packing the car now, I'll let you know if there's room,,,,,,,,,
48530,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,,,,,,,,
44791,Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us,,,,,,,,,
77180,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,,,,,,,,
50480,K tell me anything about you.,,,,,,,,,,
46047,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,,,,,,,,
27870,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,,,,,,,,
58461,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,,,,,,,,
29492,Oops, I'll let you know when my roommate's done,,,,,,,,,
57639,I see the letter B on my car,,,,,,,,,,
87030,Anything lor... U decide...,,,,,,,,,,
45315,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,,,,,,,,
52377,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,,,,,,,,
83929,Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy,,,,,,,,
12766,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,,,,,,,,
17046,WHO ARE YOU SEEING?,,,,,,,,,,
74991,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,,,,,,,,
74697,No calls..messages..missed calls,,,,,,,,,,
21445,Didn't you get hep b immunisation in nigeria.,,,,,,,,,,
36882,Fair enough, anything going on?,,,,,,,,,
54354,Yeah hopefully, if tyler can't do it I could maybe ask around a bit,,,,,,,,,
13229,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,,,,,,,,
49238,What you thinked about me. First time you saw me in class.,,,,,,,,,,
47630,A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;,,,,,,,,,
18000,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,,,,,,,,
11330,Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it," since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",,,,,,,,,
20645,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,,,,,,,,
19025,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,,,,,,,,
27124,Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ,,,,,,,
18473,Sorry, I'll call later in meeting.,,,,,,,,,
83868,Tell where you reached,,,,,,,,,,
50383,Yes..gauti and sehwag out of odi series.,,,,,,,,,,
59454,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,,,,,,,,
16934,Ha ha ha good joke. Girls are situation seekers.,,,,,,,,,,
34557,Its a part of checking IQ,,,,,,,,,,
46565,Sorry my roommates took forever, it ok if I come by now?,,,,,,,,,
17056,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,,,,,,,,
26202,As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589,,,,,,,,
81582,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",,,,,,,,,,
28450,Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ,,,,,,,,
74913,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",,,,,,,,,,
59988,I plane to give on this month end.,,,,,,,,,,
63564,Wah lucky man... Then can save money... Hee...,,,,,,,,,,
80238,Finished class where are you.,,,,,,,,,,
78637,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,,,,,,,,
98040,K..k:)where are you?how did you performed?,,,,,,,,,,
87159,U can call me now...,,,,,,,,,,
76515,I am waiting machan. Call me once you free.,,,,,,,,,,
36555,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,,,,,,,,
44458,I like you peoples very much:) but am very shy pa.,,,,,,,,,,
19250,Does not operate after  &lt;#&gt;  or what,,,,,,,,,,
28019,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,,,,,,,,
73389,Sorry, I'll call later,,,,,,,,,
74770,K. Did you call me just now ah? ,,,,,,,,,,
41477,Ok i am on the way to home hi hi,,,,,,,,,,
44828,You will be in the place of that man,,,,,,,,,,
79083,Yup next stop.,,,,,,,,,,
86525,I call you later, don't have network. If urgnt, sms me.,,,,,,,,
47396,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,,,,,,,,
42823,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,,,,,,,,
66835,I'm really not up to it still tonight babe,,,,,,,,,,
89746,Ela kano.,il download, come wen ur free..,,,,,,,,
16018,Yeah do! Don‘t stand to close tho- you‘ll catch something!,,,,,,,,,,
61811,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,,,,,,,,
60095,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,,,,,,,,
55569,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,,,,,,,,,,
97067,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,,,,,,,,
34074,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249, MK17 92H. 450Ppw 16,,,,,,,,
41988,Watching telugu movie..wat abt u?,,,,,,,,,,
81461,i see. When we finish we have loads of loans to pay,,,,,,,,,,
45083,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",,,,,,,,,,
33241,I see a cup of coffee animation,,,,,,,,,,
26216,Please don't text me anymore. I have nothing else to say.,,,,,,,,,,
56906,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,,,,,,,,
38188,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,,,,,,,,
37919,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,,,,,,,
35744,wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.,,,,,,,,,
75991,Umma my life and vava umma love you lot dear,,,,,,,,,,
25345,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,,,,,,,,
70768,Aight, I'll hit you up when I get some cash,,,,,,,,,
52113,How would my ip address test that considering my computer isn't a minecraft server,,,,,,,,,,
27248,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,,,,,,,,
93918,Dont worry. I guess he's busy.,,,,,,,,,,
30417,What is the plural of the noun research?,,,,,,,,,,
15979,Going for dinner.msg you after.,,,,,,,,,,
86299,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,,,,,,,,
94034,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,,,,,,,,
43611,Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?,,,,,,,
24670,As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.,,,,,,,,,
13483,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,,,,,,,,
41052,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,,,,,,,,
97007,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,,,,,,,,
90431,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,,,,,,,,
95681,URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM,,,,,,,,,
95820,here is my new address -apples&pairs&all that malarky,,,,,,,,,,
38251,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,,,,,,,,
39283,I am going to sao mu today. Will be done only at 12 ,,,,,,,,,,
13366,Ü predict wat time ü'll finish buying?,,,,,,,,,,
15850,Good stuff, will do.,,,,,,,,,
24873,Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.,,,,,,,
17943,Are you there in room.,,,,,,,,,,
11227,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,,,,,,,,
82627,K..k:)how much does it cost?,,,,,,,,,,
62202,I'm home.,,,,,,,,,,
57122,Dear, will call Tmorrow.pls accomodate.,,,,,,,,,
63265,First answer my question.,,,,,,,,,,
91331,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,,,,,,,,,,
57429,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,,,,,,,,
60905,I only haf msn. It's yijue@hotmail.com,,,,,,,,,,
77073,He is there. You call and meet him,,,,,,,,,,
12479,No no. I will check all rooms befor activities,,,,,,,,,,
55076,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,,,,,,,,
92758,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,,,,,,,,,,
93090,K, text me when you're on the way,,,,,,,,,
21357,Sir, Waiting for your mail.,,,,,,,,,
29933,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",,,,,,,,,,
60612,I know you are. Can you pls open the back?,,,,,,,,,,
38699,Yes see ya not on the dot,,,,,,,,,,
57873,Whats the staff name who is taking class for us?,,,,,,,,,,
70188,FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end,,,,,,,,
12776,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,,,,,,,,
22056,K..i deleted my contact that why?,,,,,,,,,,
90506,Sindu got job in birla soft ..,,,,,,,,,,
40689,The wine is flowing and i'm i have nevering..,,,,,,,,,,
17969,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,,,,,,,,
29486,Ok... Ur typical reply...,,,,,,,,,,
76239,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,,,,,,,
64086,You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
10488,Aaooooright are you at work?,,,,,,,,,,
30116,I'm leaving my house now...,,,,,,,,,,
97919,Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?,,,,,,,,,
12866,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,,,,,,,,
51127,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,,,,,,,,
81240,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,,,,,,,,
43775,New car and house for my parents.:)i have only new job in hand:),,,,,,,,,,
61746,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,,,,,,,,
69129,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,,,,,,,,
90114,BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu,,,,,,,,,
25848,I place all ur points on e cultures module already.,,,,,,,,,,
27233,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,,,,,,,,
68729,Hi frnd, which is best way to avoid missunderstding wit our beloved one's?,,,,,,,,,
53439,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,,,,,,,,
87020,Yes :)it completely in out of form:)clark also utter waste.,,,,,,,,,,
31278,Sir, I need AXIS BANK account no and bank address.,,,,,,,,,
61009,Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ,,,,,,,,,
26702,What time you coming down later? ,,,,,,,,,,
84695,Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ,,,,,,,,
59362,Well, i'm gonna finish my bath now. Have a good...fine night.,,,,,,,,,
16860,Let me know when you've got the money so carlos can make the call,,,,,,,,,,
28695,U still going to the mall?,,,,,,,,,,
41389,Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth,,,,,,,,,
85460,Text her. If she doesnt reply let me know so i can have her log in,,,,,,,,,,
61978,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,,,,,,,,
95211,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,,,,,,,,
60939,Lol no. U can trust me.,,,,,,,,,,
78430,ok. I am a gentleman and will treat you with dignity and respect.,,,,,,,,,,
47200,He will, you guys close?,,,,,,,,,
23256,Going on nothing great.bye,,,,,,,,,,
73667,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,,,,,,,,
62481,Haha awesome, be there in a minute,,,,,,,,,
15919,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,,,,,,,,,,
75356,Have you got Xmas radio times. If not i will get it now,,,,,,,,,,
78150,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,,,,,,,,
86177,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,,,,,,,,
81762,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,,,,,,,,
76114,Hi :)finally i completed the course:),,,,,,,,,,
78933,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,,,,,,,,
61747,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,,,,,,,,
27833,Gud mrng dear hav a nice day,,,,,,,,,,
91618,Did u got that persons story,,,,,,,,,,
94960,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,,,,,,,,
19066,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,,,,,,,,
95437,Found it, ENC  &lt;#&gt; , where you at?,,,,,,,,
11746,I sent you  &lt;#&gt;  bucks,,,,,,,,,,
49296,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,,,,,,,,
78817,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,,,,,,,,
71189,Goodmorning sleeping ga.,,,,,,,,,,
81112,U call me alter at 11 ok.,,,,,,,,,,
34712,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,,,,,,,,,,
26025,As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.,,,,,,,,,
33183,Aight yo, dats straight dogg,,,,,,,,,
81446,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,,,,,,,,
82119,Both :) i shoot big loads so get ready!,,,,,,,,,,
68786,What's up bruv, hope you had a great break. Do have a rewarding semester.,,,,,,,,,
89175,Home so we can always chat,,,,,,,,,,
46653,K:)k:)good:)study well.,,,,,,,,,,
19426,Yup... How ü noe leh...,,,,,,,,,,
94910,Sounds great! Are you home now?,,,,,,,,,,
66655,Finally the match heading towards draw as your prediction.,,,,,,,,,,
28972,Tired. I haven't slept well the past few nights.,,,,,,,,,,
33321,Easy ah?sen got selected means its good..,,,,,,,,,,
29799,I have to take exam with march 3,,,,,,,,,,
74667,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,,,,,,,,
46523,Ok no prob. Take ur time.,,,,,,,,,,
27450,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,,,,,,,,
57692,Sorry, I'll call later,,,,,,,,,
94014,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,,,,,,,,
64140,500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18,,,,,,,,,
18757,Would really appreciate if you call me. Just need someone to talk to.,,,,,,,,,,
93180,Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES,,,,,,,,
80389,Hey company elama po mudyadhu.,,,,,,,,,,
51673,Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .,,,,,,,,,
48148,Dear good morning now only i am up,,,,,,,,,,
37858,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,,,,,,,,
81006,Dear we are going to our rubber place,,,,,,,,,,
98894,Sorry battery died, yeah I'm here,,,,,,,,,
64495,Yes:)here tv is always available in work place..,,,,,,,,,,
71667,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,,,,,,,,
38695,I have printed it oh. So  &lt;#&gt;  come upstairs,,,,,,,,,,
72957,Or ill be a little closer like at the bus stop on the same street,,,,,,,,,,
82441,Where are you?when wil you reach here?,,,,,,,,,,
81678,New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!,,,,,,,,
37678,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,,,,,,,,
83101,Tomarrow final hearing on my laptop case so i cant.,,,,,,,,,,
53597,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,,,,,,,,
53796,Okay. No no, just shining on. That was meant to be signing, but that sounds better.,,,,,,,,
89344,Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...,,,,,,,,,
75478,U don't remember that old commercial?,,,,,,,,,,
14620,Too late. I said i have the website. I didn't i have or dont have the slippers,,,,,,,,,,
99889,I asked you to call him now ok,,,,,,,,,,
56780,Kallis wont bat in 2nd innings.,,,,,,,,,,
38749,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,,,,,,,,
14230,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,,,,,,,,
73172,Ranjith cal drpd Deeraj and deepak 5min hold,,,,,,,,,,
27581,Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.,,,,,,,,
86959,What you doing?how are you?,,,,,,,,,,
11674,Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.,,,,,,,,,
92157,I'm back, lemme know when you're ready,,,,,,,,,
79063,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,,,,,,,,
94852,Mmm so yummy babe ... Nice jolt to the suzy,,,,,,,,,,
21000,Where are you lover ? I need you ...,,,,,,,,,,
63935,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,,,,,,,,
24269,I‘m parked next to a MINI!!!! When are you coming in today do you think?,,,,,,,,,,
81483,Yup,,,,,,,,,,
71834,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,,,,,,,,
74687,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,,,,,,,,
86369,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,,,,,,,,
14249,Why you Dint come with us.,,,,,,,,,,
50605,Same. Wana plan a trip sometme then,,,,,,,,,,
47190,Not sure yet, still trying to get a hold of him,,,,,,,,,
49449,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,,,,,,,,
20110,The evo. I just had to download flash. Jealous?,,,,,,,,,,
84411,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,,,,,,,,
68532,Come to mu, we're sorting out our narcotics situation,,,,,,,,,
53296,Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.,,,,,,,,,
49923,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,,,,,,,,
28916,Usf I guess, might as well take 1 car,,,,,,,,,
98858,No objection. My bf not coming.,,,,,,,,,,
31986,Thanx...,,,,,,,,,,
27746,Tell rob to mack his gf in the theater,,,,,,,,,,
30396,Awesome, I'll see you in a bit,,,,,,,,,
22881,Just sent it. So what type of food do you like?,,,,,,,,,,
96194,All done? All handed in? Celebrations in full swing yet?,,,,,,,,,,
16998,You got called a tool?,,,,,,,,,,
11977,Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?,,,,,,,
40841,Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ,,,,,
75393,I wont get concentration dear you know you are my mind and everything :-),,,,,,,,,,
22831,LOL ... Have you made plans for new years?,,,,,,,,,,
31213,10 min later k...,,,,,,,,,,
26592,hanks lotsly!,,,,,,,,,,
68689,Thanks for this hope you had a good day today,,,,,,,,,,
76396,K:)k:)what are detail you want to transfer?acc no enough?,,,,,,,,,,
35146,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,,,,,,,,,,
54808,Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help',,,,,,,,,
21649,Si si. I think ill go make those oreo truffles.,,,,,,,,,,
74397,LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.,,,,,,,,,
33624,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,,,,,,,,,,
83614,1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya,,,,,,,
14346,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,,,,,,,,,,
41880,Where did u go? My phone is gonna die you have to stay in here,,,,,,,,,,
27960,Great. Never been better. Each day gives even more reasons to thank God,,,,,,,,,,
